,Word,Entity
1078,a full day,DATE
1079,two,CARDINAL
1080,one day,DATE
1081,one,CARDINAL
1082,three,CARDINAL
1083,one,CARDINAL
1084,two more days,DATE
1085,three,CARDINAL
1086,today,DATE
1087,3,CARDINAL
1088,90 min,QUANTITY
1089,first,ORDINAL
1090,today,DATE
1091,less than 10,CARDINAL
1092,an upcoming weekend,DATE
1093,day,DATE
1094,two,CARDINAL
1095,1 day,DATE
1096,last summer,DATE
1097,3000,CARDINAL
1098,1200,CARDINAL
1099,this summer,DATE
1100,30 bucks,MONEY
1101,45 minutes,TIME
1102,an additional 35 minutes,TIME
1103,the day,DATE
1104,45 minutes,TIME
1105,5767,DATE
1106,one,CARDINAL
1107,two,CARDINAL
1108,20 minutes,TIME
1109,thursday,DATE
1110,5th,ORDINAL
1111,one,CARDINAL
1112,first,ORDINAL
1113,a few feet,QUANTITY
1114,all day,DATE
1115,under 15 minutes,TIME
1116,1130,DATE
1117,14,CARDINAL
1118,1430,DATE
1119,two,CARDINAL
1120,two,CARDINAL
1121,one,CARDINAL
1122,1430,DATE
1123,1615,DATE
1124,2 weeks later,DATE
1125,120 minutes,TIME
1126,2,CARDINAL
1127,the day,DATE
1128,5 hours,TIME
1129,15,CARDINAL
1130,3,CARDINAL
1131,120,CARDINAL
1132,2ts,CARDINAL
1133,273,CARDINAL
1134,4,CARDINAL
1135,one week,DATE
1136,two of our days,DATE
1137,four,CARDINAL
1138,the two day,DATE
1139,one,CARDINAL
1140,at least three,CARDINAL
1141,the same day,DATE
1142,three,CARDINAL
1143,9th,ORDINAL
1144,three,CARDINAL
1145,18000,DATE
1146,75000,CARDINAL
1147,2 hours,TIME
1148,between 1 and 4 hours,QUANTITY
1149,one,CARDINAL
1150,2,CARDINAL
1151,18531 174tax,DATE
1152,2,CARDINAL
1153,4 2,CARDINAL
1154,7pm,TIME
1155,2,CARDINAL
1156,3,CARDINAL
1157,2,CARDINAL
1158,55 minutes,TIME
1159,more than a 90 minutes,TIME
1160,3,CARDINAL
1161,55 minute,TIME
1162,4,CARDINAL
1163,2,CARDINAL
1164,2,CARDINAL
1165,2,CARDINAL
1166,7,CARDINAL
1167,100 minutes,TIME
1168,the day,DATE
1169,an hour,TIME
1170,first,ORDINAL
1171,10 minutes,TIME
1172,one,CARDINAL
1173,the day,DATE
1174,25 minute,TIME
1175,658,CARDINAL
1176,8,CARDINAL
1177,the day,DATE
1178,the day,DATE
1179,5 years ago,DATE
1180,the day,DATE
1181,7,CARDINAL
1182,85 hours,TIME
1183,2647,DATE
1184,2,CARDINAL
1185,over 5 years,DATE
1186,1617,DATE
1187,those days 9,DATE
1188,96,CARDINAL
1189,10,CARDINAL
1190,a few days,DATE
1191,day,DATE
1192,hours,TIME
1193,the first day,DATE
1194,2 hours,TIME
1195,four hours,TIME
1196,the day the second day,DATE
1197,9o minutes,TIME
1198,five hours,TIME
1199,the day,DATE
1200,the third day,DATE
1201,noon,TIME
1202,zero,CARDINAL
1203,27,CARDINAL
1204,730,CARDINAL
1205,800,CARDINAL
1206,3,CARDINAL
1207,12,CARDINAL
1208,2,CARDINAL
1209,40,CARDINAL
1210,first,ORDINAL
1211,day of the year,DATE
1212,the new year,DATE
1213,5 hour,TIME
1214,the current day,DATE
1215,2nd,ORDINAL
1216,2,CARDINAL
1217,3,CARDINAL
1218,the christmas holiday,DATE
1219,7,CARDINAL
1220,2nd,ORDINAL
1221,26 2019,DATE
1222,3 12 hours,TIME
1223,about 22 minutes,TIME
1224,3 12 hours,TIME
1225,ca many decades ago,DATE
1226,another holiday day,DATE
1227,an hour,TIME
1228,2 hours,TIME
1229,40,CARDINAL
1230,holiday weeks,DATE
1231,3d,CARDINAL
1232,the 90s,DATE
1233,one,CARDINAL
